Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
15.176258325576782,-7.79501953125,-0.36367187500000003,6.92412109375,-12.26806640625,3.72314453125,15.44189453125
15.277048826217651,-7.02939453125,-0.6077148437500001,6.05322265625,-1.8310546875,-18.00537109375,13.85498046875
15.377481698989868,-7.35478515625,-1.12451171875,6.412109375000001,-5.2490234375,-57.9833984375,11.8408203125
15.477842807769775,-6.8619140625,-1.5551757812500002,6.718359375,3.35693359375,-25.08544921875,14.0380859375
15.578410387039185,-6.8236328125000005,-1.91884765625,7.4457031250000005,5.859375,-5.7373046875,7.6904296875
15.679069995880127,-6.196777343750001,-0.6794921875000001,7.550976562500001,0.79345703125,-9.6435546875,0.8544921875
15.779388666152954,-5.95751953125,-0.66513671875,7.6610351562500005,6.34765625,-6.65283203125,0.732421875
15.879881858825684,-5.9431640625,-0.516796875,7.728027343750001,5.859375,-5.7373046875,0.6103515625
15.980457544326782,-5.88095703125,-0.16269531250000002,7.6275390625,5.79833984375,2.0751953125,0.67138671875
16.080777168273926,-5.71826171875,-0.23925781250000003,7.522265625,5.92041015625,2.38037109375,3.96728515625
16.181580305099487,-6.412109375000001,-0.095703125,7.359570312500001,11.23046875,-26.06201171875,3.23486328125
16.28181552886963,-5.68955078125,-0.27753906250000004,8.115625000000001,10.6201171875,-28.25927734375,-0.30517578125
16.382439613342285,-5.86181640625,-0.14833984375,8.8908203125,1.64794921875,-13.7939453125,-3.72314453125
16.483047246932983,-4.38798828125,-0.19140625,8.441015625,-6.77490234375,-6.4697265625,-0.9765625
16.58340048789978,-4.612890625,-0.014355468750000001,8.455371093750001,-1.28173828125,2.74658203125,5.859375
16.68379545211792,-4.751660156250001,0.15791015625000002,7.73759765625,9.1552734375,2.44140625,13.48876953125
16.78410530090332,-4.4119140625,0.85654296875,7.8524414062500005,22.88818359375,8.72802734375,32.1044921875
16.884796142578125,-4.727734375000001,1.435546875,8.92431640625,16.41845703125,-10.986328125,52.24609375
16.985235452651978,-1.091015625,2.47392578125,7.8572265625,38.0859375,100.2197265625,101.13525390625
17.08581805229187,-4.751660156250001,4.77080078125,4.93828125,30.1513671875,235.2294921875,163.4521484375
17.18643617630005,-5.58427734375,7.527050781250001,1.4546875000000001,19.4091796875,157.28759765625,213.134765625
17.28693199157715,-6.747070312500001,13.599414062500001,0.7034179687500001,4.82177734375,70.86181640625,229.91943359375
17.387085437774658,-2.8806640625,9.866992187500001,1.9092773437500001,-8.544921875,-23.86474609375,90.9423828125
17.487677574157715,-6.1058593750000005,9.30234375,2.6222656250000003,16.9677734375,126.40380859375,-31.06689453125
17.588457107543945,-2.7706054687500004,9.49853515625,2.4547851562500003,-1.708984375,12.8173828125,-34.912109375
17.689067602157593,-3.521875,8.61328125,0.85654296875,10.55908203125,40.83251953125,-52.30712890625
17.78935933113098,-3.1486328125000003,8.43623046875,0.49765625,13.7939453125,-20.99609375,-44.86083984375
17.889796257019043,-3.1294921875000004,8.60849609375,0.57421875,19.95849609375,-37.353515625,-28.86962890625
17.990238189697266,-2.9380859375000004,8.517578125,1.225,18.73779296875,-42.1142578125,-13.73291015625
18.09063959121704,-2.99072265625,8.82861328125,1.6365234375000002,7.75146484375,-75.98876953125,1.46484375
18.19083070755005,-2.1341796875,8.51279296875,2.23466796875,4.5166015625,-83.80126953125,20.93505859375
18.291199207305908,-3.7946289062500003,8.718554687500001,2.12939453125,11.65771484375,57.373046875,3.60107421875
18.39161515235901,-3.6797851562500004,8.249609375,1.8614257812500001,3.96728515625,-5.67626953125,7.14111328125
18.49210500717163,-3.62236328125,8.6802734375,1.6269531250000002,3.72314453125,-26.123046875,-1.89208984375
18.5923810005188,-3.14384765625,8.73291015625,1.8279296875000002,3.60107421875,-36.0107421875,4.5166015625
18.693047761917114,-2.8041015625,8.0103515625,2.30166015625,1.52587890625,-15.56396484375,6.8359375
18.793814420700073,-2.82802734375,9.335839843750001,1.64130859375,1.15966796875,-16.11328125,-3.662109375
18.894845724105835,-1.2776367187500002,9.053515625000001,2.5361328125,-15.56396484375,-8.1787109375,4.39453125
18.995483875274658,-2.87587890625,8.402734375000001,2.0767578125000004,29.11376953125,19.775390625,-13.916015625
19.095996141433716,-3.59365234375,8.68505859375,1.320703125,2.3193359375,39.85595703125,-2.01416015625
19.196690559387207,-3.9238281250000004,9.130078125,2.354296875,2.62451171875,-29.78515625,-8.60595703125
19.29733633995056,-2.8854492187500003,8.65634765625,2.1437500000000003,1.0986328125,-28.86962890625,-0.79345703125
19.39766836166382,-2.65576171875,8.73291015625,2.09111328125,-1.52587890625,6.103515625,1.8310546875
19.49797797203064,-3.2251953125000004,8.8046875,2.25859375,-5.79833984375,3.96728515625,-3.96728515625
19.59845781326294,-2.469140625,8.163476562500001,2.0384765625,-2.3193359375,5.67626953125,-9.033203125
19.69904851913452,-2.469140625,8.163476562500001,2.0384765625,-2.3193359375,5.67626953125,-9.033203125
19.799410343170166,-4.689453125,8.63720703125,2.2681640625000004,4.45556640625,41.32080078125,4.57763671875
